,slug,Exchange,Symbol,Base,Quote,Price,+2% Depth,-2% Depth,Volume,Volume %,Liquidity,Updated,rn
10177,stellar,Zipmex,XLM/AUD,XLM,AUD,0.34639898420235776,60582.02004236,172654.86016556,6280.52241721,0.0010745118607747607,5.681e-07,2021-10-10T17:15:08.000Z,4
10178,stellar,Kraken,XLM/AUD,XLM,AUD,0.34865777429496814,30569.35463655,4054.18169923,3672.90749941,0.0006283844574505644,3.894e-07,2021-10-10T17:16:53.000Z,5
10179,stellar,Stellarterm,WXT/XLM,WXT,XLM,0.34446902608792995,0.0,0.0,60.86470755,1.0413122638628323e-05,0.0,2021-10-10T17:15:08.000Z,1
10180,stellar,Stellarterm,UNI/XLM,UNI,XLM,0.34446902608787,0.0,0.0,2.99764821,5.128567883539377e-07,0.0,2021-10-10T17:15:08.000Z,1
10181,stellar,Stellarterm,TRX/XLM,TRX,XLM,0.34446902608787,0.0,0.0,273.13287406,4.6729315373631574e-05,0.0,2021-10-10T17:15:08.000Z,1
10182,stellar,Stellarterm,TFT/XLM,TFT,XLM,0.34446902608787344,0.0,0.0,116.11715501,1.9866064000627e-05,0.0,2021-10-10T17:15:08.000Z,1
10183,stellar,Poloniex,STR/USDT,STR,USDT,0.3433170855021892,18177.43779778,18718.43990877,64101.70683378,0.010966929136350551,216.3452932027,2021-10-10T17:16:53.000Z,1
10184,stellar,Poloniex,STR/USDC,STR,USDC,0.3470898702336297,8263.42014188,48181.02362379,54492.83291979,0.009322981658195053,168.6325389447,2021-10-10T17:16:53.000Z,1
10185,stellar,Poloniex,STR/BTC,STR,BTC,0.34445453554444433,22294.78095854,98148.0841108,41778.44916325,0.007147723735158588,131.8735679146,2021-10-10T17:16:53.000Z,1
10186,stellar,Stellarterm,SPACEXDOGE/XLM,SPACEXDOGE,XLM,0.34446902608787,0.0,0.0,0.0,0.0,0.0,2021-10-10T17:15:08.000Z,1
10187,stellar,Stellarterm,SOL/XLM,SOL,XLM,0.34446902608787,0.0,0.0,17682.22618268,0.0030251881127162593,0.0,2021-10-10T17:15:08.000Z,1
10188,stellar,Stellarterm,SLT/XLM,SLT,XLM,0.34448111152705,0.0,0.0,48501.21636847,0.008297897656907834,0.0,2021-10-10T17:15:08.000Z,1
10189,stellar,Stellarterm,SHX/XLM,SHX,XLM,0.34446902608787,0.0,0.0,41811.18816499,0.00715332493253401,0.0,2021-10-10T17:15:08.000Z,1
10190,stellar,Stellarterm,RMT/XLM,RMT,XLM,0.34446902608787,0.0,0.0,645.06373838,0.00011036162150232817,0.0,2021-10-10T17:15:08.000Z,1
10191,stellar,Stellarterm,RIO/XLM,RIO,XLM,0.34446902608787,0.0,0.0,8.9254741,1.5270270761565625e-06,0.0,2021-10-10T17:15:08.000Z,1
